,0
0,course-v1:TsinghuaX+10610204_tv+2015_T1
1,course-v1:TsinghuaX+AP000008X+sp
2,course-v1:TsinghuaX+10430484X+2016_T1
3,course-v1:RiceX+RELI157x+2017_T2
4,UC_BerkeleyX/ColWri2_1x_2015_T1/2015_T1
5,course-v1:TsinghuaX+TsinghuaMandarin01+sp
6,course-v1:TsinghuaX+AP000009X+sp
7,course-v1:TJU+TJU2016001+sp
8,course-v1:TsinghuaX+20740084X+2016_T1
9,course-v1:RiceX+BIOC372_1x+2017_T1
10,course-v1:CAU+08110140_1x+sp
11,course-v1:RiceX+BIOC372_1x+2017_T2
12,course-v1:NBCCx+NBCC000502+_sp
13,TsinghuaX/10430484X/_1_
14,course-v1:RiceX+RELI157x+2017_T1
15,course-v1:TsinghuaX+30150303X+2015_T2
16,course-v1:TsinghuaX+80515522X+2017_T2
17,AdelaideX/humbio101x/_
18,course-v1:SEU+00034237_p1+sp
19,TsinghuaX/60240013_2015X/2015_T1
20,course-v1:MITx+6_00_1x+2015_T2
21,course-v1:Stanford+SciWrite+2016_T2
22,course-v1:XJTU+ME-XMGL2013-014X+2017_T2
23,TsinghuaX/10421084_2015X/2015_T1
24,course-v1:MITx+6_00_1x+2015_T1
25,course-v1:TsinghuaX+70230063X+sp
26,course-v1:TsinghuaX+80515522X+2017_T1
27,course-v1:TsinghuaX+80511503X+sp
28,course-v1:MIT+15_390_2x+_
29,TsinghuaX/10610224X/2015_T2
30,course-v1:TsinghuaX+TsinghuaMandarin01+2016_T1
31,course-v1:TsinghuaX+10691113X+2017_T1
32,course-v1:ustcX+LB05203_a+2016_T2
33,course-v1:TsinghuaX+10691113X+2017_T2
34,course-v1:TsinghuaX+01510192X+2016_T2
35,course-v1:TsinghuaX+00612643X_p3+sp
36,course-v1:TsinghuaX+00690342X_p1+sp
37,TsinghuaX/20330334X/_
38,course-v1:TsinghuaX+THU201605X+2017_T2
39,course-v1:TsinghuaX+80512073X+2016_TS
40,course-v1:TsinghuaX+80515522X+2016_T1
41,course-v1:TsinghuaX+60240202X+2016_T1
42,course-v1:NUDT+000601502+sp
43,course-v1:TsinghuaX+80512073X+2017_T2
44,TsinghuaX/10421084X/_B_1_
45,course-v1:TsinghuaX+TSINGHUA107+sp
46,course-v1:ChongqingUX+MGMT31701X+sp
47,course-v1:TsinghuaX+80515522X+2016_T2
48,course-v1:TsinghuaX+THU201605X+2017_T1
49,TsinghuaX/THUSEM005/_
50,course-v1:TsinghuaX+30130274X+2016_T1
51,course-v1:NPUX+2016001+sp
52,TsinghuaX/10430494_2015X/2015_T1
53,course-v1:UC_BerkeleyX+ColWri2_2x+sp
54,course-v1:TsinghuaX+90640012X_p1+sp
55,course-v1:NCTU+wym+2016_T2
56,course-v1:ZUELX+B0601353+2017_T1
57,TsinghuaX/20740042X/2015_T2
58,course-v1:ZUELX+B0601353+2017_T2
59,course-v1:TsinghuaX+20740042X+sp
60,course-v1:JLUx+0000045603+sp
61,course-v1:Tsinghua+20150001+2015_T2
62,TsinghuaX/10421084_2015WV/2015_winter_vacation
63,course-v1:TsinghuaX+00690302_2+2016_T2
64,course-v1:ECNUx+BIOL0031112013+2015_T2
65,course-v1:TsinghuaX+00720091X_2015_2+2015_T2
66,course-v1:ACCA+FA2_X+sp
67,course-v1:TsinghuaX+00701032X_tv+2015_T1
68,course-v1:SDUx+sd010201402+sp
69,course-v1:TsinghuaX+00740043X+2016_T1
70,course-v1:TsinghuaX+30140393X+2016_T1
71,RiceX/BIOC372_2x/_
72,course-v1:TsinghuaX+80590952X+2016_T2
73,course-v1:HUBU+20170227X+2017_T2
74,course-v1:TsinghuaX+00040132X+sp
75,course-v1:TsinghuaX+00740123X+2016_TS
76,TsinghuaX/01030132X_2015X/2015_T2
77,course-v1:TsinghuaX+00740043_2x+2017_T1
78,course-v1:rcoe+MOOC102+2016_T1
79,course-v1:TsinghuaX+20740042X+2016_T1
80,course-v1:ChongqingUX+CHEM10000X+sp
81,course-v1:TsinghuaX+10610224X_p1+sp
82,course-v1:TsinghuaX+70150023X_2015_T2+2015_T2
83,course-v1:HIT+GH47100100+2016_T2
84,TsinghuaX/00720091X/_
85,course-v1:TsinghuaX+80000822X+2016_TS
86,course-v1:xuetangx+credittest1+2017_T1
87,course-v1:CHD+24123150+_
88,course-v1:TsinghuaX+40040152X+sp
89,course-v1:HIT+GH47100100+2016_T1
90,course-v1:TsinghuaX+10421084X_2015_2+sp
91,course-v1:TsinghuaX+THU201607+sp
92,TsinghuaX/THUSEM007/_
93,course-v1:HIT+GO90801500+2016-T2
94,course-v1:TsinghuaX+AP000002X+2016T2
95,course-v1:TsinghuaX+20440333_2015X+sp
96,TsinghuaX/70120073X/_
97,course-v1:TsinghuaX+61030031X+2016_T2
98,course-v1:TsinghuaX+34000888X_p1+sp
99,course-v1:HIT+GH47100100+2017_T1
100,course-v1:TsinghuaX+00740123X+2017_T1
101,course-v1:TsinghuaX+30040323X+2016_T1
102,UC_BerkeleyX/ColWri2_3x/2014_T2
103,TsinghuaX/10800032X/_
104,course-v1:CYCU+cycusheji+2017_T2
105,course-v1:RUCX+AP000010X+2017_T1
106,course-v1:TsinghuaX+20140064X+2016_T1
107,course-v1:JLUx+gx01640603_103138_1_tv+2015_T1
108,course-v1:NTHU+MOOC_04_001+2015_T2
109,course-v1:TsinghuaX+40670453X+sp
110,course-v1:NTHU+MOOC_00_006+sp
111,course-v1:CYCU+cycusheji+2017_T1
112,course-v1:RiceX+RELI157x+2016T2
113,course-v1:HIT+GH47100100+2017_T2
114,course-v1:TsinghuaX+00740123X+2017_T2
115,course-v1:TsinghuaX+10610193X+2017_T1
116,course-v1:HIT+13SC20301820+sp
117,course-v1:TsinghuaX+10610183X_2015_T2+2015_T2
118,course-v1:Tsinghuax+10421065X_2015_T2+2015_T2
119,course-v1:RiceX+AdvBIO_2x+sp
120,course-v1:TsinghuaX+10610193X+2017_T2
121,course-v1:TsinghuaX+THU201605X+2016_T1
122,UC_BerkeleyX/CS169_1x_1/2014_T1
123,course-v1:RiceX+BIOC372_1x+2016_T2
124,course-v1:HIT+GO90801500+2016_TS
125,course-v1:TsinghuaX+70250023X_2015_2+2015_T2
126,course-v1:TNUA+AO35003+_
127,course-v1:TsinghuaX+THU201605X+2016_T2
128,course-v1:RiceX+BIOC372_2x+2016_T2
129,TsinghuaX/20250103X/2015_T2
130,course-v1:RiceX+AdvBIO_2x+2015_T2
131,TsinghuaX/80511503X/2015_T2
132,course-v1:TsinghuaX+00740113_1X+sp
133,course-v1:ACCA+FA1-MA1_X+2016_T2
134,TsinghuaX/30640014X/2014_T2
135,course-v1:NUDT+000601502+_
136,course-v1:RiceX+AdvENVSCI_1x+sp
137,course-v1:TsinghuaX+00740043X+2016_TS
138,course-v1:TsinghuaX+40130653X+sp
139,course-v1:Stanfordx+SciWrite+2017_T2
140,course-v1:TsinghuaX+20220214X+2017_T2
141,course-v1:TsinghuaX+10610183_2X+2017_T2
142,course-v1:Stanfordx+SciWrite+2017_T1
143,course-v1:TsinghuaX+20220214X+2017_T1
144,course-v1:HNU+HNU001_tv+2015_T1
145,course-v1:TsinghuaX+10610183_2X+2017_T1
146,course-v1:TsinghuaX+00690242+sp
147,course-v1:rcoe+MOOC102+2016_TS
148,course-v1:ustcX+LB05203a+2016_T1
149,course-v1:TsinghuaX+MOOC101+2016_T1
150,TsinghuaX/10450034_1X/2015_T2
151,course-v1:AdelaideX+Wine101x+2017_T2
152,course-v1:ZUELX+B0800280+2017_T2
153,course-v1:XJTU+COMP200853+sp
154,course-v1:RiceX+RELI157x+sp
155,course-v1:NBCCx+NBCC000301+_SP
156,course-v1:MITx+15_671x+2017_T2
157,course-v1:UQx+Crime101x+_
158,course-v1:TsinghuaX+MOOC101+2016_T2
159,TsinghuaX/34000312X/2015_T2
160,course-v1:TsinghuaX+80000822X+2016_T1
161,course-v1:TsinghuaX+30805743+2017_T2
162,course-v1:ustcX+LB05203_a+sp
163,course-v1:TsinghuaX+30805743+2017_T1
164,course-v1:TsinghuaX+00310222X+2016_T1
165,course-v1:TsinghuaX+10610193X+2016_T2
166,course-v1:nix+a003+2017_T1
167,course-v1:TsinghuaX+30130274X+2017_T1
168,course-v1:TsinghuaX+00720091X_p3+sp
169,course-v1:ustcX+LB05203_a+2017_T1
170,course-v1:TsinghuaX+40250074X+sp
171,course-v1:CIE+CIE2016004+sp
172,course-v1:TsinghuaX+30260112X+sp
173,course-v1:TsinghuaX+80515182X+2017_T2
174,course-v1:ustcX+LB05203_a+2017_T2
175,course-v1:TsinghuaX+10610193X+2016_T1
176,course-v1:RiceX+AdvBIO_4x+sp
177,TsinghuaX/30700313_2015X/2015_T1
178,course-v1:TsinghuaX+02090091X+2017_T1
179,course-v1:TsinghuaX+20320074X+2017_T2
180,course-v1:test+test+test
181,course-v1:TsinghuaX+00460032X+_
182,course-v1:TsinghuaX+70800232X+2016-T2
183,course-v1:TsinghuaX+20430064X+2016_T1
184,course-v1:TsinghuaX+20220214X+2016_T1
185,JLUx/0000045603/2015_T1
186,course-v1:TsinghuaX+THESIS2014_1X_tv+_2014_
187,course-v1:TsinghuaX+00510133X+sp
188,TsinghuaX/00612642X/_
189,course-v1:TsinghuaX+20220214X+2016_T2
190,course-v1:TsinghuaX+02090091X+2017_T2
191,course-v1:TsinghuaX+20320074X+2017_T1
192,course-v1:TsinghuaX+00690212X-2_p1+sp
193,course-v1:RiceX+BIOC372_2x+2017_T1
194,course-v1:TsinghuaX+02090091X_p8+sp
195,course-v1:TsinghuaX+10430575X+2016_T2
196,course-v1:SJU+2017011101X+2017_T1
197,course-v1:UQx+Write101_x+2015_T2
198,TsinghuaX/00720091_2015X/2015_T1
199,course-v1:TsinghuaX+20220053X_2015_T2+sp
200,course-v1:TsinghuaX+MOOC102+2015_T2
201,course-v1:TsinghuaX+40260173X+2016_T1
202,course-v1:UESTC+2017071301X+sp
203,course-v1:TsinghuaX+20330334X+2016_T1
204,course-v1:RiceX+BIOC372_2x+2017_T2
205,course-v1:TsinghuaX+30670043X+2016_T
206,course-v1:TsinghuaX+00690342X+2016_TS
207,course-v1:BJUT+2140074001x+sp
208,course-v1:UQx+TROPIC101x+sp
209,TsinghuaX/THU00013X/_
210,course-v1:NCTU+nctucmpsd+sp
211,course-v1:TsinghuaX+00690302_1+sp
212,course-v1:TsinghuaX+30670043X+2016_T2
213,course-v1:TsinghuaX+30240184_2X+sp
214,course-v1:TsinghuaX+00690863X_p3+sp
215,course-v1:HEBNU+2017011901X+2017_T1
216,course-v1:SDUx+sd010201402+2015_T2
217,course-v1:NJUST+NJUST2017001+2017_T1
218,course-v1:SwufeX+2017041702X+sp
219,course-v1:TsinghuaX+10691113X+2016_T2
220,course-v1:NTHU+MOOC_02_002+2017_T1
221,course-v1:TsinghuaX+00690242X_2015_2+2015_T2
222,course-v1:TsinghuaX+20240103X+2016_T1
223,TsinghuaX/00680082X/2016_T1
224,course-v1:NJUST+NJUST2017001+2017_T4
225,course-v1:SDUx+sd010201401+2017_T1
226,TsinghuaX/10421084_2X/2014_T2
227,YunTech/YunTech001/2015_T1
228,course-v1:TsinghuaX+30670043X+sp
229,course-v1:SDUx+sd010201401+2016_T1
230,course-v1:TsinghuaX+00310222X+2016_TS
231,UC_BerkeleyX/ColWri2_2x_2015_T1/2015_T1
232,course-v1:BUPT+3412113011+2017_T2
233,course-v1:TsinghuaX+10430494X_2015_2+2015_T2
234,course-v1:TsinghuaX+30640014_2015sX+2015_T2
235,course-v1:BUPT+3412113011+2017_T1
236,course-v1:SEU+00034237_p3+sp
237,TsinghuaX/20740084X/2015_T2
238,course-v1:SCU+00011142_p1+sp
239,course-v1:DYU+dyuwgzbbm+2017_T2
240,course-v1:HHX+75099102+SP
241,TsinghuaX/40260173X/2015_T2
242,course-v1:TsinghuaX+10421094X_2015_2+sp
243,XJTU/BIOL3028/2014_T2
244,course-v1:TsinghuaX+60240202X_p3+sp
245,course-v1:TsinghuaX+30230931X+2016_T1
246,course-v1:DYU+dyuwgzbbm+2017_T1
247,course-v1:TsinghuaX+AP000004X+sp
248,course-v1:TsinghuaX+00690092X_2015_T2+2015_T2
249,course-v1:TsinghuaX+00740123_X+sp
250,course-v1:UC_BerkeleyX+ColWri2_1x+sp
251,course-v1:TsinghuaX+00690092X+2016_T2
252,course-v1:BUPT+3412113011+2016_T1
253,course-v1:TsinghuaX+00690092X+2016_T1
254,course-v1:TsinghuaX+10421145X+2016_T1
255,course-v1:TsinghuaX+30140393X_tv+2015_T1
256,course-v1:CAU+08110140_tv+2015_T1
257,RiceX/Phys102x/_
258,course-v1:BIT+PHY1701701+2016_T1
259,course-v1:TsinghuaX+AP000000X+sp
260,course-v1:TsinghuaX+10421075X_2015_2+sp
261,course-v1:TsinghuaX+00720091X+2016_T2
262,course-v1:TsinghuaX+10610183X_tv+2016_T1
263,TsinghuaX/10421094X/_1_
264,course-v1:TsinghuaX+THUSEM007+sp
265,course-v1:TsinghuaX+80515522X+2016_TS
266,course-v1:TsinghuaX+80140242X+2016_T2
267,CAU/08112500x/2015_T2
268,course-v1:HUST+603+sp
269,course-v1:TsinghuaX+00720091X+2016_T1
270,course-v1:AdelaideX+humbio101-x+2017_T1
271,course-v1:TsinghuaX+20150001+2017_T1
272,course-v1:TsinghuaX+00690863X+2017_T1
273,course-v1:TsinghuaX+00690863X+2017_T2
274,course-v1:TsinghuaX+20150001+2017_T2
275,course-v1:AdelaideX+humbio101-x+2017_T2
276,course-v1:TsinghuaX+30240332+2016_T2
277,TsinghuaX/20440333_2015X/2015_T1
278,TsinghuaX/THESIS2014_1X/_2014_
279,course-v1:TsinghuaX+80590952X_p3+sp
280,course-v1:MITx+15_390x_2016T1+2016_T1
281,course-v1:TsinghuaX+20140064_2X+2017_T1
282,course-v1:MITx+15_390x_2016T1+2016_T2
283,course-v1:TsinghuaX+00612642X_p5+sp
284,course-v1:HIT+13SD33000721+sp2
285,course-v1:CIE+CIE2017008+2017_T2
286,course-v1:ACCA+FA1_X+sp
287,course-v1:NJU+010101+2016_T1
288,course-v1:TsinghuaX+TsinghuaMandarin01+2017_T2
289,course-v1:TsinghuaX+80512073X+sp
290,course-v1:TsinghuaX+00690302_1+2017_T1_1
291,course-v1:CIE+CIE2017008+2017_T1
292,MITx/6_002x/_Circuits_and_Electronics_
293,course-v1:TsinghuaX+00690242X_p2+sp
294,course-v1:TsinghuaX+80590952X+2016_TS
295,course-v1:TsinghuaX+20740042X+2017_T1
296,course-v1:NUDT+125205501+2017_T2
297,course-v1:TsinghuaX+10800163X+2017_T2
298,course-v1:TsinghuaX+10800163X+2017_T1
299,course-v1:TsinghuaX+20740042X+2017_T2
300,course-v1:BerkeleyX+CS169_1x+2016_T2
301,course-v1:TsinghuaX+30320174X+2016_T1
302,TsinghuaX/70120073_2015X/2015_T1
303,course-v1:HnfireX+FS001+2016_T2
304,course-v1:NTHU+MOOC_00_005+sp
305,course-v1:HIT+13SD25000700+sp
306,UQx/TROPIC101x/_
307,TsinghuaX/00690242_1X_2014/2014_T2
308,course-v1:ZUEL+B0680090_2015_T2+sp
309,TsinghuaX/00701032X/2015_T1
310,course-v1:JinanX+2017031003X+2017_T2
311,course-v1:BSU+BSU001+sp
312,course-v1:TsinghuaX+20740042X+2016-T2
313,course-v1:JLUx+0000045603+SP
314,course-v1:TsinghuaX+10610193X+2015_T3
315,course-v1:TsinghuaX+30640014+2016_T2
316,TsinghuaX/80150193X/2015_T2
317,course-v1:HUST+603+_
318,course-v1:TsinghuaX+34000312X+2017_T2
319,course-v1:TsinghuaX+00690092X+2017_T1
320,TsinghuaX/THUSEM002/_
321,course-v1:HUBU+HU08002X+sp
322,course-v1:TsinghuaX+40260173_X+sp
323,course-v1:TsinghuaX+00690092X+2017_T2
324,course-v1:HIT+GO94500200+sp
325,TsinghuaX/20220214_2015X/2015_T1
326,course-v1:Amazon+20170526X+2017_sp
327,course-v1:TsinghuaX+00680142X+2016_T2
328,course-v1:JNUX+jnu2017001X+2017_T2
329,course-v1:TsinghuaX+10421084X+2016_T2
330,course-v1:TsinghuaX+30640014+2015_T2
331,course-v1:NBCC+NBCC000001+_sp
332,course-v1:TsinghuaX+20440333X+2016_T1
333,TsinghuaX/AP000003X/2015_T1
334,course-v1:TsinghuaX+10610193X_tv+2015_T1
335,course-v1:JNUX+jnu2017001X+2017_T1
336,course-v1:TsinghuaX+10421084X+2016_T1
337,course-v1:TsinghuaX+20440333X+2016_T2
338,course-v1:HUBU+20170619001+sp
339,course-v1:TsinghuaX+30806872X+sp
340,course-v1:TsinghuaX+00680142X+2016_T1
341,TsinghuaX/00690342X/2015_T1
342,course-v1:MicrosoftX+Microsoft102+sp
343,course-v1:TsinghuaX+34100325X+sp
344,course-v1:TsinghuaX+81020142X+sp
345,course-v1:TsinghuaX+40130753+2016_T2
346,course-v1:TsinghuaX+00690342X_p2+sp
347,course-v1:TsinghuaX+70240183X+2017_T1
348,course-v1:UQx+Write101_x+2016_T2
349,TsinghuaX/00740113X/2015_T2
350,course-v1:ACCA+FA2_X+2017_T1
351,course-v1:TsinghuaX+00690242X_p1+sp
352,course-v1:ACCA+FA2_X+2017_T2
353,course-v1:TsinghuaX+30700313X_p3+sp
354,course-v1:ECUSTX+2017011101X+sp
355,course-v1:TsinghuaX+40670453X_p4+sp
356,TsinghuaX/80000901X/2014_T2
357,course-v1:TsinghuaX+00612643X_p1+sp
358,course-v1:JNUX+07009156X+2017_T1
359,course-v1:Stanford+GlobeHealth+2016_T1
360,course-v1:TsinghuaX+80000901X_p5+sp
361,course-v1:TsinghuaX+10800032X_2015_2+2015_T2
362,course-v1:TsinghuaX+AP000001X+2017T1
363,course-v1:JNUX+07009156X+2017_T2
364,course-v1:UC_BerkeleyX+CS_184_1x+2015_T1
365,course-v1:FUDANx+ECON130007_01+2016_T1
366,TsinghuaX/30240243X/2015_T1
367,TsinghuaX/30140393_2015X/2015_T1
368,course-v1:FudanX+SOSC120007+2017_T1
369,course-v1:TsinghuaX+00990021X+sp
370,TsinghuaX/10421145_2015X/2015_T1
371,course-v1:BNU+2017001+2017_T1
372,course-v1:TsinghuaX+70167012_tv+2015_T1
373,course-v1:FUDANx+ECON130007_01+2016_T2
374,course-v1:TsinghuaX+00612643X+2016_T2
375,course-v1:TsinghuaX+01030132X_p1+sp
376,course-v1:FUDANx+SOSC120007_P1+sp
377,course-v1:TsinghuaX+30670043X+2017_T2
378,course-v1:UQx+Write101_x+sp
379,course-v1:TsinghuaX+THU00013X+2017_T2
380,course-v1:TsinghuaX+THU00013X+2017_T1
381,course-v1:TsinghuaX+30670043X+2017_T1
382,course-v1:HIT+13SD33000721+2016_TS
383,TsinghuaX/80512073_2015X/2015_T1
384,course-v1:UST+9000603153+sp
385,course-v1:TsinghuaX+20140064_2X+2016_T1
386,course-v1:TsinghuaX+20350033X+sp
387,course-v1:ZUEL+B0680090_tv+2015_T1
388,course-v1:TsinghuaX+40130753+SP
389,course-v1:NTHU+QF32110+sp
390,course-v1:TsinghuaX+30640014X+2017_T2
391,course-v1:TsinghuaX+00690212X+2017_T2
392,course-v1:TsinghuaX+00680142X+2016_TS
393,course-v1:TsinghuaX+00690212X+2016_TS
394,course-v1:SWU+2017070501X+sp
395,course-v1:ZUEL+B0680090_2015_T2+2015_T2
396,course-v1:TsinghuaX+40670453X_tv+2015_T1
397,course-v1:TsinghuaX+30640014X+2017_T1
398,course-v1:TsinghuaX+00690212X+2017_T1
399,TsinghuaX/30240233X/2015_T1
400,course-v1:TsinghuaX+40050455_2X+sp
401,course-v1:HIT+13SC20301820+2016_T1
402,course-v1:TsinghuaX+20250064_1X_tv+2015_T1
403,course-v1:CQUX+SE31107X+sp
404,course-v1:HITx+13SC03100710_2x+sp
405,course-v1:TsinghuaX+AP000005X+sp
406,course-v1:TsinghuaX+MOOC101+2017_TS
407,course-v1:MIL+MIL2016001+sp
408,course-v1:UST+UST001+_
409,course-v1:BLCUX+3010700103+sp
410,TsinghuaX/THUSEM009/_
411,DavidsonX/001x/2014_T2
412,course-v1:TsinghuaX+30640014X-p2+sp
413,course-v1:TsinghuaX+90640012X_p4+sp
414,course-v1:TsinghuaX+10421102X+2016_T1
415,course-v1:SEU+00034237+sp
416,course-v1:CIE+CIE2016005_+2017_T2
417,course-v1:UQx+Write101_x+2017_T1
418,course-v1:TsinghuaX+01030132X_p2+sp
419,course-v1:TsinghuaX+00990021X+2015_T2
420,course-v1:UQx+Write101_x+2017_T2
421,course-v1:xuetangx+credittest5+2016_T2
422,course-v1:TsinghuaX+64100033X+2016_TS
423,course-v1:TsinghuaX+70340063X+2016_T2
424,course-v1:TsinghuaX+L061101X+2017_T2
425,course-v1:TsinghuaX+30806872X+2017_T2
426,course-v1:TsinghuaX+34000312X+2016_T1
427,course-v1:TsinghuaX+10421075X+2017_T1
428,course-v1:TsinghuaX+10421075X+2017_T2
429,course-v1:TsinghuaX+01030132X_tv+2015_T1
430,course-v1:TsinghuaX+THUSEM002+sp
431,course-v1:TsinghuaX+30240532X+2017_T2
432,course-v1:TsinghuaX+30806872X+2017_T1
433,course-v1:TsinghuaX+30240233X_tv+2015_T1
434,course-v1:TsinghuaX+30240184+sp
435,course-v1:TsinghuaX+80240372X+sp
436,course-v1:TsinghuaX+10421084X+2017_T2
437,course-v1:TsinghuaX+30640014_tv+2015_T1
438,course-v1:TsinghuaX+20220332X_p1+sp
439,TsinghuaX/70250023_2015X/2015_T1
440,course-v1:TsinghuaX+30803273X+2017_T2
441,course-v1:ACCA+MA2_X+sp
442,course-v1:TCU+tzucnshan+2017_T2
443,TsinghuaX/30240184_2015X/2015_T1
444,course-v1:TCU+tzucnshan+2017_T1
445,course-v1:McGillX+Chem181x+2015_T1
446,course-v1:TsinghuaX+THUSEM001+sp
447,course-v1:HIT+13SD08000500+_
448,course-v1:Stanford+SciWrite+_
449,course-v1:TsinghuaX+00612642X_p4+sp
450,course-v1:NTHU+CS01026+2017_T2
451,course-v1:CIE+CIE2016006+sp
452,TsinghuaX/20250064X/_
453,course-v1:TsinghuaX+40050455X+sp
454,course-v1:JinanX+2017031002X+2017_T1
455,course-v1:xuetangx+credittest4+2017_T1
456,course-v1:TsinghuaX+01030132X+2016_T2
457,course-v1:TsinghuaX+THU201605X+sp
458,UC_BerkeleyX/ColWri2_1x/2014_T2
459,course-v1:FudanX+ECON13000701+sp
460,course-v1:TsinghuaX+00612642+2015_T1
461,course-v1:McGillX+ATOC185x+2015_T1
462,course-v1:TsinghuaX+00690212X+2016_T1
463,course-v1:TsinghuaX+80000901X_2+sp
464,course-v1:HIT+13SC20301820+2017_T2
465,course-v1:TsinghuaX+00740043_2X+2016_T1
466,course-v1:HnfireX+FS001+2017_T2
467,course-v1:UOH+75099102+2017_T2
468,course-v1:RiceX+AdvENVSCI_4x+sp
469,course-v1:ustcX+LB05203a+2015_T2
470,course-v1:TsinghuaX+10430896X+sp
471,course-v1:HUBU+2017022701X+sp
472,course-v1:SCU+00011142+sp
473,course-v1:UC_BerkeleyX+ColWri2_3x_2015_T1+2017_T2
474,course-v1:SEU+00034237_p2+sp
475,course-v1:TsinghuaX+00720091X+sp
476,HITx/GO90300700/2014_T2
477,course-v1:UC_BerkeleyX+ColWri2_3x_2015_T1+2017_T1
478,course-v1:MITx+15_390x_2016T1+2016_TS
479,course-v1:TsinghuaX+00740043_2x_2015_T2+2015_T2
480,course-v1:TsinghuaX+80000901X+2016_T1
481,course-v1:TsinghuaX+00720091X+2017_T1
482,course-v1:TsinghuaX+34100325_X+sp
483,course-v1:TsinghuaX+70660542X+sp
484,course-v1:TsinghuaX+40260092X+sp
485,course-v1:NCTU+wghx+2016_T2
486,course-v1:TsinghuaX+80000901X+2016_T2
487,course-v1:TsinghuaX+10421084X+2017-T1
488,course-v1:TsinghuaX+00720091X+2017_T2
489,course-v1:ustcX+LB05203a+sp
490,course-v1:TsinghuaX+64100033X+SP
491,course-v1:TsinghuaX+00691153X+2016_T2
492,course-v1:FudanX+ECON13000701+2017_T2
493,course-v1:TsinghuaX+10800163X+sp
494,course-v1:TsinghuaX+00612643X+2017_T2
495,course-v1:TsinghuaX+70250023X+2016_T1
496,course-v1:TsinghuaX+80000901X+2016-T2
497,course-v1:TsinghuaX+10430484X_2015_2+sp
498,course-v1:TsinghuaX+20430064_2X+2016_T1
499,TsinghuaX/80512073_2014_2X/2014_T2
500,TsinghuaX/30140393X/_
501,course-v1:TsinghuaX+00691153X+2016_T1
502,course-v1:FudanX+ECON13000701+2017_T1
503,course-v1:TsinghuaX+10610224X+sp
504,course-v1:TsinghuaX+00612643X+2017_T1
505,course-v1:NTHU+MOOC_02_002_tv+2015_T1
506,course-v1:TsinghuaX+00510888X_2015_T2+2015_T2
507,course-v1:USTC+USTC2006001+sp
508,MITx/15_390x_2015_T1/2015_T1
509,course-v1:Tsinghuax+10421065X_2015_T2+sp
510,course-v1:TsinghuaX+80611322X+2016_T2
511,course-v1:YunTech+YunTech001+sp
512,course-v1:TsinghuaX+AP000004X+2016-2
513,course-v1:NTHU+CS01026+2016_T2
514,course-v1:TsinghuaX+01030132X+2017_T2
515,course-v1:MITx+15_390x+sp
516,course-v1:TsinghuaX+00310222X+sp
517,course-v1:xuetangx+credittest3+2017_T1
518,course-v1:TsinghuaX+00740113X_tv+2015_T1
519,course-v1:TsinghuaX+30240532X+2016_T1
520,course-v1:TsinghuaX+00740043_1x+2017_T2
521,TsinghuaX/80000901_2015X/2015_T1
522,course-v1:edX+BlendedX+sp
523,course-v1:xuetangx+credittest6+2016_T2
524,TsinghuaX/70167012X/_
525,course-v1:TsinghuaX+00740043_1x+2017_T1
526,course-v1:MicrosoftX+Microsoft101+_
527,TsinghuaX/80512073_2015WV/2015_winter_vacation
